geographic_area,oc1,oc2,working_time,sex,year,value,flag,comment,timestamp
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2012,638,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2012,7,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2012,1200,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,F,2012,66,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2012,5752,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2012,51,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2012,1703,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2012,42,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2012,2330,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2013,5,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2013,2739,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2013,1,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2013,543,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2013,4,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2013,669,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,F,2013,77,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2013,6456,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2013,32,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2013,1479,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2013,41,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2013,1563,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,F,2014,170,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,M,2014,9648,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,F,2014,15,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,M,2014,3714,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,F,2015,166,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,M,2015,9479,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,F,2015,20,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,M,2015,3777,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,F,2016,179,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,M,2016,9344,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,F,2016,20,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,M,2016,3894,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,F,2017,176,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,M,2017,9293,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,F,2017,24,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,M,2017,4047,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,F,2018,176,E,Forward dragged estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Status Unspecified,M,2018,9293,E,Forward dragged estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,F,2018,24,E,Forward dragged estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Deep-Sea Fishing,Status Unspecified,M,2018,4047,E,Forward dragged estimate,2021-04-19 16:25:06
